,entity,meaning
391,deaden," make vague or obscure or make (an image) less visible; ""muffle the message"""
392,deaden," make less lively, intense, or vigorous; impair in vigor, force, activity, or sensation; ""Terror blunted her feelings""; ""deaden a sound"""
393,yarn," the act of giving an account describing incidents or a course of events; ""his narration was hesitant"""
394,yarn, a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
395,yarn, tell or spin a yarn
396,headship, the position of headmaster or headmistress
397,headship, the position of head
398,sleeping, the state of being asleep
399,sleeping, quiet and inactive restfulness
400,sleeping, the suspension of consciousness and decrease in metabolic rate
401,odessa, a port city of south central Ukraine on an arm of the Black Sea
402,odessa, a city in western Texas
403,inflame," become inflamed; get sore; ""His throat inflamed"""
404,inflame," cause inflammation in; ""The repetitive motion inflamed her joint"""
405,leg, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
406,leg, a cloth covering consisting of the part of a pair of trousers that covers a person's leg
407,leg, one of the supports for a piece of furniture
408,promulgation," the formal act of proclaiming; giving public notice; ""his promulgation of the policy proved to be premature"""
409,promulgation," a public statement containing information about an event that has happened or is going to happen; ""the announcement appeared in the local newspaper""; ""the promulgation was written in English"""
410,promulgation, the official announcement of a new law or ordinance whereby the law or ordinance is put into effect
411,scale," pattern, make, regulate, set, measure, or estimate according to some rate or standard"
412,scale, (music) a series of notes differing in pitch according to a specific scheme (usually within an octave)
413,scale," remove the scales from; ""scale fish"""
414,scale, a flattened rigid plate forming part of the body covering of many animals
415,scale," size or measure according to a scale; ""This model must be scaled down"""
416,warm up," cause to do preliminary exercises so as to stretch the muscles; ""The coach warmed up the players before the game"""
417,warm up," make one's body limber or suppler by stretching, as if to prepare for strenuous physical activity"
418,stake," a pole or stake set up to mark something (as the start or end of a race track); ""a pair of posts marked the goal""; ""the corner of the lot was indicated by a stake"""
419,stake," place a bet on; ""Which horse are you backing?""; ""I'm betting on the new horse"""
420,stake," (law) a right or legal share of something; a financial involvement with something; ""they have interests all over the world""; ""a stake in the company's future"""
421,smash," a vigorous blow; ""the sudden knock floored him""; ""he took a bash right in his face""; ""he got a bang on the head"""
422,smash," a kind of guan   humiliate or depress completely; ""She was crushed by his refusal of her invitation""; ""The death of her son smashed her"""
423,smash," break into pieces, as by striking or knocking over; ""Smash a plate"""
424,smash," the act of colliding with something; ""his crash through the window""; ""the fullback's smash into the defensive line"""
425,smash," break suddenly into pieces, as from a violent blow; ""The window smashed"""
426,smash," hit hard; ""He smashed a 3-run homer"""
427,smash," reduce to bankruptcy; ""My daughter's fancy wedding is going to break me!""; ""The slump in the financial markets smashed him"""
428,dyke, a barrier constructed to contain the flow of water or to keep out the sea
429,dyke," enclose with a dike; ""dike the land to protect it from water"""
430,dyke, (slang) offensive term for a lesbian who is noticeably masculine
431,credit," an entry on a list of persons who contributed to a film or written work; ""the credits were given at the end of the film"""
432,credit," ascribe an achievement to; ""She was not properly credited in the program"""
433,credit," accounting: enter as credit; ""We credit your account with $100"""
434,credit, money available for a client to borrow
435,credit," give someone credit for something; ""We credited her for saving our jobs"""
436,stretch, a straightaway section of a racetrack
437,stretch," become longer by being stretched and pulled; ""The fabric stretches"""
438,stretch," extend one's limbs or muscles, or the entire body; ""Stretch your legs!""; ""Extend your right arm above your head"""
439,stretch," corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones; ""adulterate liquor"""
440,stretch," make long or longer by pulling and stretching; ""stretch the fabric"""
